Time,Heart_beat, Speed
1422692730.000000,76,-1.000000
1422692731.000000,76,-1.000000
1422692732.000000,76,-1.000000
1422692742.000000,78,-1.000000
1422692743.000000,76,-1.000000
1422692745.000000,75,-1.000000
1422692748.000000,76,-1.000000
1422692749.000000,77,-1.000000
1422692750.000000,78,-1.000000
1422692752.000000,79,-1.000000
1422692754.000000,78,-1.000000
1422692755.000000,76,-1.000000
1422692756.000000,75,-1.000000
1422692761.000000,76,-1.000000
1422692762.000000,78,-1.000000
1422692764.000000,78,-1.000000
1422692766.000000,76,-1.000000
1422692767.000000,75,-1.000000
1422692774.000000,74,-1.000000
1422692778.000000,73,-1.000000
1422692779.000000,72,-1.000000
1422692781.000000,71,-1.000000
1422692782.000000,70,-1.000000
1422692784.000000,71,-1.000000
1422692787.000000,72,-1.000000
1422692793.000000,71,-1.000000
1422692794.000000,69,-1.000000
1422692797.000000,68,-1.000000
1422692800.000000,67,-1.000000
1422692804.000000,66,-1.000000
1422692805.000000,67,-1.000000
1422692808.000000,68,-1.000000
1422692814.000000,67,-1.000000
1422692815.000000,68,-1.000000
1422692817.000000,67,-1.000000
1422692819.000000,68,-1.000000
1422692820.000000,67,-1.000000
1422692822.000000,68,-1.000000
1422692828.000000,69,-1.000000
1422692832.000000,70,-1.000000
1422692835.000000,71,-1.000000
1422692836.000000,72,-1.000000
1422692837.000000,73,-1.000000
1422692846.000000,74,-1.000000
1422692847.000000,76,-1.000000
1422692849.000000,77,-1.000000
1422692856.000000,77,-1.000000
1422692857.000000,78,-1.000000
1422692859.000000,79,-1.000000
1422692860.000000,78,-1.000000
1422692862.000000,77,-1.000000
1422692863.000000,76,-1.000000
1422692864.000000,75,-1.000000
1422692865.000000,74,-1.000000
1422692866.000000,73,-1.000000
1422692872.000000,72,-1.000000
1422692888.000000,71,-1.000000
1422692889.000000,70,-1.000000
1422692891.000000,69,-1.000000
1422692893.000000,68,-1.000000
1422692894.000000,67,-1.000000
1422692897.000000,66,-1.000000
1422692899.000000,65,-1.000000
1422692903.000000,64,-1.000000
1422692905.000000,63,-1.000000
1422692908.000000,62,-1.000000
1422692912.000000,61,-1.000000
1422692916.000000,60,-1.000000
1422692920.000000,59,-1.000000
1422692921.000000,58,-1.000000
1422692924.000000,57,-1.000000
1422692926.000000,56,-1.000000
1422692928.000000,55,-1.000000
1422692930.000000,54,-1.000000
1422692931.000000,53,-1.000000
1422692935.000000,52,-1.000000
1422692941.000000,51,-1.000000
1422692947.000000,50,-1.000000
1422692956.000000,51,-1.000000
1422692957.000000,52,-1.000000
1422692959.000000,54,-1.000000
1422692961.000000,55,-1.000000
1422692963.000000,56,-1.000000
1422692964.000000,57,-1.000000
1422692968.000000,56,-1.000000
1422692971.000000,55,-1.000000
1422692974.000000,54,-1.000000
1422692979.000000,53,-1.000000
1422692982.000000,54,-1.000000
1422692983.000000,53,-1.000000
1422692984.000000,54,-1.000000
1422692991.000000,53,-1.000000
1422693004.000000,52,-1.000000
1422693010.000000,53,-1.000000
1422693023.000000,54,-1.000000
1422693024.000000,55,-1.000000
1422693026.000000,56,-1.000000
1422693027.000000,57,-1.000000
1422693028.000000,58,-1.000000
1422693038.000000,59,-1.000000
1422693044.000000,58,-1.000000
1422693048.000000,57,-1.000000
1422693050.000000,56,-1.000000
1422693052.000000,55,-1.000000
1422693059.000000,54,-1.000000
1422693061.000000,55,-1.000000
1422693064.000000,56,-1.000000
1422693065.000000,57,-1.000000
1422693066.000000,56,-1.000000
1422693072.000000,55,-1.000000
1422693078.000000,54,-1.000000
1422693080.000000,55,-1.000000
1422693082.000000,54,-1.000000
1422693083.000000,55,-1.000000
1422693085.000000,54,-1.000000
1422693089.000000,55,-1.000000
1422693092.000000,54,-1.000000
1422693093.000000,55,-1.000000
1422693094.000000,54,-1.000000
1422693104.000000,56,-1.000000
1422693107.000000,58,-1.000000
1422693108.000000,59,-1.000000
1422693109.000000,61,-1.000000
1422693110.000000,62,-1.000000
1422693111.000000,65,-1.000000
1422693112.000000,66,-1.000000
1422693113.000000,67,-1.000000
1422693114.000000,69,-1.000000
1422693115.000000,71,-1.000000
1422693116.000000,72,-1.000000
1422693117.000000,73,-1.000000
1422693119.000000,72,-1.000000
1422693120.000000,72,-1.000000
1422693122.000000,73,-1.000000
1422693124.000000,75,-1.000000
1422693126.000000,76,-1.000000
1422693129.000000,75,-1.000000
1422693130.000000,73,-1.000000
1422693131.000000,72,-1.000000
1422693132.000000,71,-1.000000
1422693137.000000,70,-1.000000
1422693138.000000,69,-1.000000
1422693141.000000,68,-1.000000
1422693142.000000,67,-1.000000
1422693144.000000,66,-1.000000
1422693146.000000,65,-1.000000
1422693147.000000,64,-1.000000
1422693148.000000,63,-1.000000
1422693152.000000,62,-1.000000
1422693153.000000,61,-1.000000
1422693155.000000,60,-1.000000
1422693157.000000,59,-1.000000
1422693160.000000,58,-1.000000
1422693169.000000,60,-1.000000
1422693172.000000,61,-1.000000
1422693173.000000,60,-1.000000
1422693174.000000,61,-1.000000
1422693176.000000,63,-1.000000
1422693177.000000,62,-1.000000
1422693182.000000,61,-1.000000
1422693184.000000,60,-1.000000
1422693185.000000,59,-1.000000
1422693186.000000,60,-1.000000
1422693194.000000,59,-1.000000
1422693195.000000,58,-1.000000
1422693208.000000,59,-1.000000
1422693209.000000,61,-1.000000
1422693210.000000,62,-1.000000
1422693211.000000,64,-1.000000
1422693213.000000,65,-1.000000
1422693214.000000,69,-1.000000
1422693215.000000,70,-1.000000
1422693216.000000,71,-1.000000
1422693217.000000,72,-1.000000
1422693218.000000,73,-1.000000
1422693220.000000,74,-1.000000
1422693221.000000,75,-1.000000
1422693222.000000,77,-1.000000
1422693223.000000,79,-1.000000
1422693224.000000,80,-1.000000
1422693225.000000,81,-1.000000
1422693227.000000,82,-1.000000
1422693228.000000,81,-1.000000
1422693229.000000,80,-1.000000
1422693230.000000,79,-1.000000
1422693231.000000,78,-1.000000
1422693232.000000,76,-1.000000
1422693233.000000,75,-1.000000
1422693237.000000,76,-1.000000
1422693244.000000,77,-1.000000
1422693248.000000,79,-1.000000
1422693249.000000,81,-1.000000
1422693250.000000,82,-1.000000
1422693251.000000,85,-1.000000
1422693252.000000,87,-1.000000
1422693253.000000,89,-1.000000
1422693254.000000,90,-1.000000
1422693255.000000,93,-1.000000
1422693256.000000,95,-1.000000
1422693257.000000,96,-1.000000
1422693258.000000,99,-1.000000
1422693259.000000,101,-1.000000
1422693260.000000,103,-1.000000
1422693261.000000,104,-1.000000
1422693262.000000,105,-1.000000
1422693263.000000,103,-1.000000
1422693273.000000,102,-1.000000
1422693274.000000,99,-1.000000
1422693275.000000,98,-1.000000
1422693278.000000,97,-1.000000
1422693282.000000,95,-1.000000
1422693284.000000,94,-1.000000
1422693287.000000,95,-1.000000
1422693288.000000,94,-1.000000
1422693289.000000,95,-1.000000
1422693290.000000,94,-1.000000
1422693291.000000,92,-1.000000
1422693293.000000,90,-1.000000
1422693294.000000,89,-1.000000
1422693295.000000,88,-1.000000
1422693298.000000,89,-1.000000
1422693299.000000,90,-1.000000
1422693300.000000,92,-1.000000
1422693302.000000,93,-1.000000
1422693303.000000,92,-1.000000
1422693305.000000,91,-1.000000
1422693306.000000,89,-1.000000
1422693307.000000,88,-1.000000
1422693309.000000,87,-1.000000
1422693312.000000,88,-1.000000
1422693313.000000,89,-1.000000
1422693321.000000,88,-1.000000
1422693323.000000,89,-1.000000
1422693324.000000,88,-1.000000
1422693329.000000,87,-1.000000
1422693330.000000,86,-1.000000
1422693333.000000,87,-1.000000
1422693337.000000,85,-1.000000
1422693338.000000,84,-1.000000
1422693339.000000,82,-1.000000
1422693347.000000,81,-1.000000
1422693348.000000,79,-1.000000
1422693349.000000,78,-1.000000
1422693355.000000,77,-1.000000
1422693357.000000,75,-1.000000
1422693371.000000,74,-1.000000
1422693372.000000,73,-1.000000
1422693379.000000,72,-1.000000
1422693384.000000,71,-1.000000
1422693386.000000,70,-1.000000
1422693389.000000,69,-1.000000
1422693390.000000,68,-1.000000
1422693393.000000,67,-1.000000
1422693395.000000,66,-1.000000
1422693397.000000,65,-1.000000
1422693401.000000,64,-1.000000
1422693403.000000,63,-1.000000
1422693405.000000,62,-1.000000
1422693414.000000,61,-1.000000
1422693417.000000,60,-1.000000
1422693420.000000,59,-1.000000
1422693426.000000,58,-1.000000
1422693431.000000,57,-1.000000
1422693434.000000,56,-1.000000
1422693436.000000,55,-1.000000
1422693437.000000,56,-1.000000
1422693445.000000,57,-1.000000
1422693448.000000,56,-1.000000
1422693450.000000,55,-1.000000
1422693451.000000,54,-1.000000
1422693459.000000,53,-1.000000
1422693463.000000,52,-1.000000
1422693464.000000,53,-1.000000
1422693469.000000,54,-1.000000
1422693471.000000,56,-1.000000
1422693476.000000,58,-1.000000
1422693477.000000,60,-1.000000
1422693478.000000,61,-1.000000
1422693479.000000,60,-1.000000
1422693481.000000,59,-1.000000
