Отрезок,Время,Время в движ.,Расстояние,Набор высоты,Потеря высоты,Ср. скорость,Ср. скор. движения,Макс. скорость,Ср. ЧП,Макс. ЧП,Калории,
 1,1:02.5,1:02,0.19,0,0,10.9,11.0,13.2,135,155,10,
 2,:30.2,:31,0.21,0,0,24.7,24.1,29.7,158,166,6,
 3,1:09.7,1:09,0.21,0,0,10.7,10.8,21.7,164,166,15,
 Сводка,2:42.4,2:42.0,0.60,0,0,13.4,13.4,29.7,152,166,31,
