Отрезок,Время,Время в движ.,Расстояние,Набор высоты,Потеря высоты,Ср. скорость,Ср. скор. движения,Макс. скорость,Ср. ЧП,Макс. ЧП,Калории,
 1,3:06.7,3:06,0.57,0,0,10.9,11.0,27.6,178,196,6,
 Сводка,3:06.7,3:06.0,0.57,0,0,10.9,11.0,27.6,178,196,6,
