Отрезок,Время,Время в движ.,Расстояние,Набор высоты,Потеря высоты,Ср. скорость,Ср. скор. движения,Макс. скорость,Ср. ЧП,Макс. ЧП,Калории,
 1,1:13.4,1:13,0.21,0,0,10.1,10.1,12.2,128,159,12,
 2,:31.7,:31,0.21,0,0,23.8,24.3,28.9,165,167,6,
 3,1:11.4,1:10,0.20,0,0,9.9,10.1,19.1,166,169,15,
 Сводка,2:56.4,2:54.0,0.61,0,0,12.5,12.7,28.9,150,169,33,
