Отрезок,Время,Время в движ.,Расстояние,Набор высоты,Потеря высоты,Ср. скорость,Ср. скор. движения,Макс. скорость,Ср. ЧП,Макс. ЧП,Калории,
 1,1:05.6,1:06,0.21,0,0,11.3,11.2,13.6,145,161,11,
 2,:32.7,:32,0.19,0,0,20.4,20.8,23.9,164,167,6,
 3,1:10.3,1:11,0.21,0,0,11.0,10.9,14.9,163,166,14,
 Сводка,2:48.6,2:49.0,0.61,0,0,12.9,12.9,23.9,156,167,31,
