Отрезок,Время,Время в движ.,Расстояние,Набор высоты,Потеря высоты,Ср. скорость,Ср. скор. движения,Макс. скорость,Ср. ЧП,Макс. ЧП,Калории,
 1,:57.6,:57,0.20,0,0,12.4,12.5,15.0,105,119,2,
 2,:31.6,:32,0.20,0,0,22.4,22.2,28.5,131,136,1,
 3,1:11.2,1:11,0.20,0,0,10.1,10.1,20.8,139,141,2,
 Сводка,2:40.5,2:40.0,0.59,0,0,13.3,13.4,28.5,125,141,5,
