Отрезок,Время,Время в движ.,Расстояние,Набор высоты,Потеря высоты,Ср. скорость,Ср. скор. движения,Макс. скорость,Ср. ЧП,Макс. ЧП,Калории,
 1,2:34.3,2:34,0.59,2,2,13.8,13.8,28.0,158,178,31,
 Сводка,2:34.3,2:34.0,0.59,2,2,13.8,13.8,28.0,158,178,31,
