Отрезок,Время,Время в движ.,Расстояние,Набор высоты,Потеря высоты,Ср. скорость,Ср. скор. движения,Макс. скорость,Ср. ЧП,Макс. ЧП,Калории,
 1,2:35.6,2:36,0.58,0,0,13.5,13.5,24.4,161,201,31,
 Сводка,2:35.6,2:36.0,0.58,0,0,13.5,13.5,24.4,161,201,31,
