Отрезок,Время,Время в движ.,Расстояние,Набор высоты,Потеря высоты,Ср. скорость,Ср. скор. движения,Макс. скорость,Ср. ЧП,Макс. ЧП,Калории,
 1,1:06.8,1:06,0.19,0,0,10.4,10.5,15.1,146,150,12,
 2,:31.0,:32,0.18,0,0,21.4,20.7,25.6,160,166,6,
 3,1:10.4,1:10,0.20,0,0,10.4,10.5,24.3,167,169,16,
 Сводка,2:48.2,2:48.0,0.58,0,0,12.4,12.4,25.6,158,169,34,
