Отрезок,Время,Время в движ.,Расстояние,Набор высоты,Потеря высоты,Ср. скорость,Ср. скор. движения,Макс. скорость,Ср. ЧП,Макс. ЧП,Калории,
 1,2:12.9,2:11,0.60,0,0,16.4,16.6,25.2,141,171,11,
 Сводка,2:12.9,2:11.0,0.60,0,0,16.4,16.6,25.2,141,171,11,
