Отрезок,Время,Время в движ.,Расстояние,Набор высоты,Потеря высоты,Ср. скорость,Ср. скор. движения,Макс. скорость,Ср. ЧП,Макс. ЧП,Калории,
 1,2:34.1,2:34,0.59,0,0,13.8,13.8,24.1,131,166,19,
 Сводка,2:34.1,2:34.0,0.59,0,0,13.8,13.8,24.1,131,166,19,
