Отрезок,Время,Время в движ.,Расстояние,Набор высоты,Потеря высоты,Ср. скорость,Ср. скор. движения,Макс. скорость,Ср. ЧП,Макс. ЧП,Калории,
 1,2:36.2,2:37,0.59,0,0,13.7,13.6,26.7,164,179,33,
 2,:01.0,:01,0.00,0,0,7.2,7.4,3.9,155,155,0,
 Сводка,2:37.2,2:38.0,0.60,0,0,13.7,13.6,26.7,163,179,33,
