Отрезок,Время,Время в движ.,Расстояние,Набор высоты,Потеря высоты,Ср. скорость,Ср. скор. движения,Макс. скорость,Ср. ЧП,Макс. ЧП,Калории,
 1,1:08.7,1:09,0.19,2,0,10.2,10.1,14.3,121,142,12,
 2,:30.8,:30,0.18,2,5,21.1,21.6,28.1,151,163,6,
 3,1:12.3,1:13,0.21,2,0,10.5,10.4,23.0,162,163,16,
 Сводка,2:51.9,2:52.0,0.58,6,5,12.3,12.2,28.1,144,163,34,
