Отрезок,Время,Время в движ.,Расстояние,Набор высоты,Потеря высоты,Ср. скорость,Ср. скор. движения,Макс. скорость,Ср. ЧП,Макс. ЧП,Калории,
 1,2:40.8,2:41,0.60,0,0,13.4,13.3,27.0,171,197,33,
 Сводка,2:40.8,2:41.0,0.60,0,0,13.4,13.3,27.0,171,197,33,
