Отрезок,Время,Время в движ.,Расстояние,Набор высоты,Потеря высоты,Ср. скорость,Ср. скор. движения,Макс. скорость,Ср. ЧП,Макс. ЧП,Калории,
 1,1:00.7,1:01,0.20,0,0,11.9,11.9,15.9,77,91,1,
 2,:31.3,:31,0.20,0,0,22.6,22.9,26.4,110,131,0,
 3,1:15.3,1:16,0.20,0,0,9.6,9.5,22.8,142,149,1,
 Сводка,2:47.4,2:48.0,0.60,0,0,12.9,12.8,26.4,112,149,2,
